RU,666,,1,,2,,PT,2016-10-22 20:40:07,2016-01-06 02:31:40,567,306,316,,0,,0,2016-01-16 01:07:25,2016-01-15 09:48:46
ID,800,,529,,765,,PL,2016-01-28 14:39:48,2016-12-23 01:52:46,315,303,426,,0,,0,2016-01-08 10:35:49,2016-01-19 11:48:59
BR,198,,1,,2,,BG,2016-10-22 23:57:07,2016-01-21 22:51:42,315,214,349,,0,,0,2016-01-30 15:39:57,2016-01-28 17:28:06
CN,338,,799,,9,,FR,2016-04-23 07:24:03,2016-10-12 12:50:17,441,392,465,,0,,0,2016-01-30 08:11:17,2016-01-28 03:10:02
CN,998,,845,,952,,JP,2016-05-03 13:16:39,2016-06-15 07:57:28,441,213,392,,0,,0,2016-01-28 18:23:18,2016-01-02 05:21:47
CN,389,,1,,2,,RU,2016-10-22 20:56:27,2016-07-02 12:34:06,567,337,400,,0,,0,2016-01-06 06:33:56,2016-01-14 06:56:57
TZ,990,,807,,869,,PH,2016-10-03 21:32:18,2016-09-28 17:15:08,567,432,403,,0,,0,2016-01-07 20:54:01,2016-01-13 16:20:33
FR,457,,700,,584,,BR,2016-05-11 04:51:15,2016-09-30 07:18:35,315,448,213,,0,,0,2016-01-20 17:38:30,2016-01-08 20:32:12
CA,711,,1,,2,,CN,2016-10-22 16:37:57,2016-11-29 17:37:29,441,288,225,,0,,0,2016-01-09 01:20:01,2016-01-04 09:31:48
ID,795,,335,,982,,FR,2016-10-13 04:20:46,2016-04-21 21:24:44,189,451,257,,0,,0,2016-01-13 00:50:29,2016-01-08 05:52:59
BD,647,,989,,320,,AR,2016-08-20 21:11:32,2016-02-26 07:05:42,315,200,328,,0,,0,2016-01-20 10:30:46,2016-01-16 21:48:42
NL,662,,1,,2,,PH,2016-10-22 00:00:00,2016-12-12 22:53:03,252,419,396,,0,,0,2016-01-27 12:05:28,2016-01-28 18:33:42
BO,368,,539,,685,,SS,2016-04-29 05:52:52,2016-11-24 16:19:01,567,440,361,,0,,0,2016-01-25 00:53:35,2016-01-22 09:28:03
UA,248,,1,,2,,ID,2016-10-22 01:04:11,2016-08-11 21:37:28,189,224,302,,0,,0,2016-01-07 05:25:09,2016-01-20 09:42:59
PE,381,,390,,994,,ID,2016-04-16 18:02:26,2016-11-14 20:02:55,567,482,379,,0,,0,2016-01-26 09:42:07,2016-01-25 17:50:33
AR,463,,166,,899,,ID,2016-02-22 12:37:14,2016-12-04 13:22:55,504,388,251,,0,,0,2016-01-30 06:38:48,2016-01-13 06:36:35
CN,930,,471,,37,,PL,2016-05-16 14:51:39,2016-03-01 00:18:07,252,261,333,,0,,0,2016-01-15 18:13:49,2016-01-12 14:25:51
CO,868,,514,,147,,FR,2016-10-24 18:48:03,2016-04-08 22:10:05,126,398,368,,0,,0,2016-01-24 22:47:59,2016-01-06 02:18:29
CN,640,,852,,654,,ID,2016-11-24 21:43:53,2016-06-17 20:58:22,441,313,348,,0,,0,2016-01-18 18:47:47,2016-01-13 04:25:53
PH,767,,1,,2,,TH,2016-10-22 00:14:51,2016-06-06 23:51:22,126,462,236,,0,,0,2016-01-17 15:00:20,2016-01-21 19:32:43
VE,852,,371,,932,,BR,2016-12-20 20:14:57,2016-10-22 01:13:34,126,370,327,,0,,0,2016-01-19 19:37:42,2016-01-09 02:37:39
PE,979,,723,,346,,JP,2016-12-05 11:53:58,2016-03-02 21:13:48,567,279,234,,0,,0,2016-01-26 07:51:34,2016-01-03 08:27:22
US,820,,1,,2,,RU,2016-10-22 03:43:32,2016-11-26 23:13:10,567,492,374,,0,,0,2016-01-17 06:29:42,2016-01-29 20:52:07
JP,613,,910,,140,,SE,2016-02-26 17:37:13,2016-01-11 09:06:21,252,280,362,,0,,0,2016-01-24 22:52:57,2016-01-18 12:05:46
US,155,,173,,958,,RS,2016-05-17 14:22:26,2016-06-24 12:17:58,315,427,454,,0,,0,2016-01-03 10:01:18,2016-01-06 06:03:42
PH,483,,505,,220,,ID,2016-11-13 13:08:59,2016-08-27 08:41:33,441,231,462,,0,,0,2016-01-15 18:46:05,2016-01-07 23:36:46
ID,869,,1,,2,,UA,2016-10-22 15:29:42,2016-02-15 06:55:28,252,306,449,,0,,0,2016-01-10 18:15:36,2016-01-09 02:59:23
XK,717,,978,,924,,CN,2016-08-31 12:03:37,2016-01-17 11:14:20,252,224,244,,0,,0,2016-01-20 07:53:15,2016-01-23 23:39:44
IR,937,,273,,412,,PL,2016-06-05 14:26:00,2016-11-03 19:48:44,315,237,352,,0,,0,2016-01-02 05:32:03,2016-01-21 09:15:56
ID,437,,946,,54,,RU,2016-04-16 11:38:33,2016-01-29 12:27:36,441,365,290,,0,,0,2016-01-05 10:45:58,2016-01-22 06:08:45
UZ,730,,451,,9,,PE,2016-07-29 14:32:04,2016-05-27 00:14:18,567,288,385,,0,,0,2016-01-17 03:57:26,2016-01-25 13:33:31
